persistence intervals in dim 0:
(0.0,3.6169435000000023)
(0.0,3.6163354999999995)
(0.0,3.616181999999993)
(0.0,3.6161035000000004)
(0.0,3.615912500000002)
(0.0,3.6153672499999994)
(0.0,3.6147969999999985)
(0.0,3.614111250000006)
(0.0,3.613358750000001)
(0.0,3.613345249999998)
(0.0,3.610735250000009)
(0.0,3.610138499999999)
(0.0,3.609004999999998)
(0.0,3.608260249999999)
(0.0,3.6070334999999982)
(0.0,3.606508500000005)
(0.0,3.6061435000000013)
(0.0,3.605188250000003)
(0.0,3.6048647500000004)
(0.0,3.6047122500000044)
(0.0,3.604573999999996)
(0.0,3.604567249999997)
(0.0,3.6036589999999986)
(0.0,3.603290000000001)
(0.0,3.6027327500000004)
(0.0,3.602050249999994)
(0.0,3.601732250000012)
(0.0,3.601377500000008)
(0.0,3.5996425000000034)
(0.0,3.5983075000000033)
(0.0,3.598101499999995)
(0.0,3.5967015)
(0.0,3.596491000000001)
(0.0,3.5961932500000087)
(0.0,3.5945925)
(0.0,3.593912750000004)
(0.0,3.592213499999997)
(0.0,3.5911889999999977)
(0.0,3.591156499999994)
(0.0,3.5903765000000014)
(0.0,3.590266250000001)
(0.0,3.5900712499999994)
(0.0,3.590043500000003)
(0.0,3.589996750000006)
(0.0,3.5897889999999997)
(0.0,3.589291249999997)
(0.0,3.589010750000006)
(0.0,3.5876355)
(0.0,3.586688500000003)
(0.0,3.5854489999999952)
(0.0,3.5845762499999947)
(0.0,3.5840652499999934)
(0.0,3.5821655000000097)
(0.0,3.581930250000001)
(0.0,3.5818814999999913)
(0.0,3.5811585000000044)
(0.0,3.578621250000003)
(0.0,3.577961499999997)
(0.0,3.5773414999999993)
(0.0,3.577070750000001)
(0.0,3.5768147499999987)
(0.0,3.5765604999999994)
(0.0,3.576454499999996)
(0.0,3.575791500000001)
(0.0,3.5757395000000027)
(0.0,3.5753232500000034)
(0.0,3.5751765000000066)
(0.0,3.5742007500000037)
(0.0,3.5731152500000034)
(0.0,3.572531249999999)
(0.0,3.5703659999999884)
(0.0,3.569510000000002)
(0.0,3.569052499999998)
(0.0,3.568945499999998)
(0.0,3.567809500000002)
(0.0,3.5674939999999977)
(0.0,3.5672994999999936)
(0.0,3.5666527500000003)
(0.0,3.5663100000000014)
(0.0,3.5644874999999967)
(0.0,3.562571499999997)
(0.0,3.5621502499999957)
(0.0,3.5607262499999983)
(0.0,3.5602182499999993)
(0.0,3.559976499999993)
(0.0,3.5581025000000026)
(0.0,3.55772525)
(0.0,3.5537847499999993)
(0.0,3.553766000000002)
(0.0,3.553287499999999)
(0.0,3.5517052500000066)
(0.0,3.550752499999998)
(0.0,3.550681000000004)
(0.0,3.5505942500000014)
(0.0,3.548142749999999)
(0.0,3.5481332500000033)
(0.0,3.5478772499999964)
(0.0,3.547169000000001)
(0.0,3.5461455000000015)
(0.0,3.5456090000000025)
(0.0,3.5416632499999987)
(0.0,3.5391382500000015)
(0.0,3.537904499999997)
(0.0,3.5361404999999992)
(0.0,3.533037250000004)
(0.0,3.529877249999995)
(0.0,3.5291024999999987)
(0.0,3.528172249999999)
(0.0,3.52759875)
(0.0,3.5236385000000023)
(0.0,3.5219802500000013)
(0.0,3.519353999999999)
(0.0,3.509791250000001)
(0.0,3.5048354999999978)
(0.0,3.50233125)
(0.0,3.495835249999999)
(0.0,3.494163249999995)
(0.0,3.488901499999999)
(0.0,3.4857235000000055)
(0.0,3.4826185000000054)
(0.0,3.4759192499999942)
(0.0,3.4512572499999985)
(0.0,2.1223087500000015)
(0.0,1.9936872499999978)
persistence intervals in dim 1:
(4.309672500000003,23.85788386648671)
(4.393350499999999,21.127507901337065)
(4.79118225,20.92006935143668)
(4.923121999999999,19.70560875670577)
(6.674802500000002,20.95269415608577)
(4.92082625,18.248688247657896)
(12.52671149999999,24.002252141789832)
(4.575468500000002,13.730360437376085)
(10.972259000000001,18.928281760883166)
(5.985437000000003,13.710601436111235)
(15.857328500000019,23.016492246197526)
(14.8855985,21.510727127754112)
(12.68528899999999,18.998028895832874)
(12.50960825,18.719689104860933)
(12.321128250000005,18.494409013568315)
(3.6913205000000007,9.674932329638146)
(4.008691500000002,9.687063229105682)
(8.739614500000005,13.984714585397738)
(4.858064250000005,9.966628317905187)
(4.11254825,9.110932076535082)
(4.348900499999999,9.210154350041933)
(4.368195499999997,9.18998903761486)
(4.306963999999997,9.070501809245984)
(4.3145352500000005,9.01385769772749)
(4.954437500000001,9.468935234627473)
(15.53115125,19.99595353646456)
(4.6551605,9.063959980963208)
(4.5200205000000055,8.87539841190269)
(11.625048500000007,15.93875904277603)
(4.693464750000002,8.935856220889598)
(4.577998499999998,8.809839188619497)
(4.809400250000001,8.885998084502633)
(4.570698750000004,8.622548709907573)
(4.960225250000001,9.006302700877171)
(4.741090999999998,8.785795484630357)
(5.300228250000004,9.334307589395532)
(5.269407249999995,9.285547947622355)
(8.836539499999999,12.741949823092625)
(4.668252250000009,8.573083188324105)
(11.536209000000007,15.428313151111782)
(5.079449,8.952224916770518)
(9.862098750000005,13.704896478636527)
(5.051299250000001,8.851378796583946)
(15.044685500000018,18.809121389790523)
(5.220182249999997,8.98187947673442)
(13.496650500000008,17.224033578169767)
(14.839817499999999,18.543163078116528)
(5.066732,8.744935082215859)
(4.707156499999995,8.382065629175692)
(4.4655900000000015,8.138513716272534)
(5.097776249999991,8.755548813486294)
(5.321511500000002,8.979167089771286)
(5.016224250000002,8.65580029204861)
(4.937527250000002,8.573318749273355)
(5.572834,9.201522370878845)
(5.635804750000002,9.22977242782497)
(4.912141249999996,8.498234048733002)
(4.947226999999996,8.483887062182575)
(5.086596249999996,8.589456621385184)
(14.102648249999984,17.54900443092746)
(6.04999199999999,9.373979827142506)
(15.004810250000006,18.302451366406586)
(9.106308500000008,12.381726039212275)
(5.567201500000005,8.81197087065885)
(5.273669500000004,8.489489094376962)
(4.542931250000002,7.683842746421547)
(5.609131250000008,8.695631090230862)
(9.403915249999997,12.48836271907508)
(4.9197032499999995,7.974833435049698)
(5.56896875,8.61093746584945)
(5.297492249999998,8.29609694382161)
(5.222448250000008,8.206836213387165)
(5.699610749999998,8.629637207145421)
(5.25269625,8.121073245006713)
(5.964741000000004,8.820305592119123)
(5.355070500000007,8.160358102995886)
(7.531844749999999,10.336631001272913)
(5.394407250000002,8.080646546759429)
(6.3769115,9.056982471900444)
(7.6957902500000035,10.370664552725074)
(6.499494499999999,9.165688992572584)
(5.7292454999999975,8.383197266483883)
(5.3601019999999995,8.001303236807288)
(12.125947250000005,14.718045488475031)
(6.6438829999999935,9.21360865914384)
(5.6447652500000025,8.21092834933599)
(6.555370250000005,9.095910143658607)
(5.935482499999997,8.452431447481164)
(5.164631250000003,7.636347048175153)
(9.80172525,12.255262349008374)
(6.000815249999997,8.355890965584212)
(6.380474499999999,8.695749853119061)
(7.968010249999997,10.271424382712148)
(6.157614750000002,8.43994459865728)
(15.643799249999992,17.922185182575475)
(12.018237250000004,14.272418894656507)
(14.439380500000015,16.528889090174896)
(9.747786500000021,11.82841555408685)
(6.381705500000008,8.401488686196588)
(6.155378249999993,8.125639676806422)
(6.103073999999999,8.054552238389217)
(6.10881925,8.043558137246523)
(5.904875250000002,7.822858243935189)
(6.303657250000001,8.20384361722273)
(6.629829249999993,8.505048663488004)
(7.057675250000008,8.925469478330655)
(6.464101249999996,8.325141305835931)
(6.817666500000005,8.666200251512798)
(5.838522249999997,7.673959423853301)
(6.081872250000016,7.8933902747227815)
(6.54019725,8.349377604717901)
